2016-06-30 EMC stock 56961725 29.05
2016-06-30 LNG stock 29841174 42.04
2016-06-30 VSAT stock 11533137 73.57
2016-06-30 AGN stock 2001978 238.48
2016-06-30 AR stock 14505881 27.84
2016-06-30 OLN stock 10739202 20.42
2016-06-30 PBF stock 10641175 21.75
2016-06-30 C stock 5167000 49.34
2016-06-30 FOXA stock 7696922 24.32
2016-06-30 PYPL stock 5664087 39.98
2016-06-30 FOX stock 7278100 24.66
2016-06-30 INVA stock 17610091 10.59
2016-06-30 KERX stock 25791678 5.43
2016-06-30 TBPH stock 7350991 36.50
2016-06-30 VMW stock 2252694 73.94
2016-06-30 ATRA stock 5359632 17.26
2016-06-30 VRTV stock 3044385 51.78
2016-06-30 FWP stock 5367300 21.26
2016-06-30 LVNTA stock 2469533 40.35
2016-06-30 IMOS stock 3751853 19.70
2016-06-30 KLXI stock 2000000 35.38
2016-06-30 CAR stock 1787227 32.54
2016-06-30 NG stock 9500000 4.14
2016-06-30 SEMI stock 8372979 11.60
2016-06-30 BATRK stock 2994010 17.50
2016-06-30 SRAQ stock 3750000 16.00
2016-06-30 PRTK stock 2044498 13.43
2016-06-30 CASC stock 25000000 1.49
2016-06-30 CASC stock 25000000 1.49
2016-06-30 CACC stock 100000 183.88
2016-06-30 RUN stock 2848082 6.52
2016-06-30 OZM stock 3373891 3.60
2016-06-30 BATRA stock 800000 17.60
2016-06-30 KIN stock 3013848 4.84
2016-06-30 OREX stock 22268399 3.17
2016-06-30 CHUBK stock 493907 15.77
2016-06-30 CHUBA stock 246953 15.98
2016-06-30 BITI stock 0 25.80
2016-06-30 BXE stock 0 0.86
2016-06-30 GNW stock 0 5.09
2016-06-30 LQ stock 0 10.89
2016-06-30 SRAQU stock 0 17.84
